NJID,NJName,Rating,AsOfDate
8097,Bergen Charter,1221.080103,11/19/2019
8851,Academy for Urban Leadership Charter,1202.309213,11/19/2019
4044,North Plainfield,1200.524059,11/19/2019
2662,Bergenfield,1193.219745,11/19/2019
3955,Morris Knolls,1195.098525,11/19/2019
2690,Boonton,1202.592972,11/19/2019
2785,Cedar Grove,1189.170867,11/19/2019
2927,Cumberland,1188.758588,11/19/2019
6369,Atlantic Christian,1194.436067,11/19/2019
3305,Hammonton,1190.907794,11/19/2019
3188,Freehold Borough,1184.394536,11/19/2019
6406,West Caldwell Tech,1185.90753,11/19/2019
3488,Ferris,1191.07899,11/19/2019
6367,Bergen County Christian,1181.071528,11/19/2019
4867,West Windsor-Plainsboro South,1174.547551,11/19/2019
4469,Saddle Brook,1168.643965,11/19/2019
3766,Manchester Township,1166.982514,11/19/2019
4254,Parsippany,1165.001718,11/19/2019
4321,Pompton Lakes,1157.01398,11/19/2019
3133,Florence,1148.003282,11/19/2019
9470,Mastery Charter,1139.846755,11/19/2019
7054,Delaware School for the Deaf (DE),1140.104077,11/19/2019
3619,Lakewood,1138.269773,11/19/2019
